Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,Product Group,Sub Classification,Vendor,Brand,Dosage Form,Manufacturing Site,First Line Designation,Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),scheduled_year,scheduled_month,scheduled_quarter,delay_days,delayed
Botswana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,"Pacific Biotech, Thailand",Yes,10,3500.0,24.0,1091.64,2007,8,3,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Chewable/dispersible tablet,"Aurobindo Unit III, India",Yes,1300,10075.0,270.0,3850.43,2007,12,4,0,0
Guyana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,Chembio Diagnostics Sys. Inc.,Yes,120,3240.0,35.0,379.62,2007,10,4,0,0
Zimbabwe,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,"Pacific Biotech, Thailand",Yes,10,3500.0,24.0,536.08,2007,10,4,0,0
Rwanda,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Premier Medical Corporation Ltd.,First Response,Test kit,Premier Med. Corp Ltd. India,Yes,3991,65851.5,1150.0,9898.8,2007,11,4,0,0
Rwanda,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Capillus,Test kit,"Trinity Biotech, Plc",Yes,463,64357.0,450.0,4360.83,2008,1,1,0,0
Rwanda,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Capillus,Test kit,"Trinity Biotech, Plc",No,300,41700.0,,,2008,1,1,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,SUN PHARMACEUTICAL INDUSTRIES LTD (RANBAXY LABORATORIES LIMITED),Generic,Tablet,"Ranbaxy, Paonta Shahib, India",Yes,600,5028.0,34.0,2127.22,2008,1,1,3,1
Rwanda,PMO - US,Direct Drop,CIP,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,"Aurobindo Unit III, India",Yes,48259,567043.25,4143.0,19088.86,2008,1,1,0,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Capillus,Test kit,"Trinity Biotech, Plc",Yes,3,417.0,2.0,1800.33,2009,7,3,0,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,1000,70000.0,228.0,4829.61,2008,1,1,0,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Capillus,Test kit,"Trinity Biotech, Plc",Yes,2,278.0,,,2008,2,1,0,0
Ethiopia,PMO - US,Direct Drop,EXW,Air,ARV,Adult,ASPEN PHARMACARE,Viread,Tablet,"Aspen-OSD, Port Elizabeth, SA",No,780,7.8,,,2008,3,1,0,0
South Africa,PMO - US,Direct Drop,DDP,Unknown,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",Videx,Powder for oral solution,"BMS Meymac, France",Yes,4,57.92,,,2008,1,1,95,1
South Africa,PMO - US,Direct Drop,DDP,Unknown,ARV,Adult,"JSI R&T INSTITUTE, INC.",Zerit,Capsule,"BMS Meymac, France",Yes,2500,14325.0,,,2008,1,1,0,0
South Africa,PMO - US,Direct Drop,DDP,Unknown,ARV,Pediatric,"JSI R&T INSTITUTE, INC.",Stocrin/Sustiva,Capsule,"MSD Midrand, J'burg, SA",No,100,3297.0,,,2008,1,1,-17,0
South Africa,PMO - US,Direct Drop,DDP,Unknown,ARV,Adult,"JSI R&T INSTITUTE, INC.",Viread,Tablet,"Aspen-OSD, Port Elizabeth, SA",No,150,3838.5,,,2008,1,1,-17,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Capillus,Test kit,"Trinity Biotech, Plc",Yes,250,34750.0,,,2008,2,1,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,Chembio Diagnostics Sys. Inc.,Yes,7719,208413.0,2502.0,15636.7,2008,4,2,0,0
Mozambique,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,5300,169600.0,1796.0,32437.45,2008,10,4,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,"JSI R&T INSTITUTE, INC.",Zerit,Capsule,"BMS Meymac, France",No,600,3426.0,,,2008,2,1,-15,0
Guyana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,240,17277.6,55.0,1442.92,2008,4,2,0,0
Ethiopia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Colloidal Gold,Test kit,"KHB Test Kit Facility, Shanghai China",Yes,1044,24012.0,754.0,6267.38,2008,4,2,0,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,955,63985.0,164.0,1802.14,2008,5,2,0,0
Guyana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,748,23936.0,748.0,3740.04,2008,5,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Stocrin/Sustiva,Capsule,"MSD Midrand, J'burg, SA",No,80,2252.0,,,2008,4,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Norvir,Capsule,ABBVIE (Abbott) Logis. UK,No,10,91.9,,,2008,4,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Zerit,Capsule,"BMS Meymac, France",No,1000,4890.0,,,2008,4,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Stocrin/Sustiva,Capsule,"MSD Midrand, J'burg, SA",No,200,596.0,,,2008,4,2,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Chewable/dispersible tablet,"Aurobindo Unit III, India",No,360,2790.0,,,2008,7,3,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Pediatric,Aurobindo Pharma Limited,Generic,Capsule,"Aurobindo Unit III, India",Yes,1400,7686.0,106.0,2869.03,2008,6,2,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,Mylan (formerly Matrix) Nashik,Yes,10080,115718.4,772.0,5893.08,2008,7,3,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,Mylan (formerly Matrix) Nashik,Yes,2016,27538.56,122.0,2867.81,2008,7,3,-46,0
South Africa,PMO - US,Direct Drop,DDP,Unknown,ARV,Adult,S. BUYS WHOLESALER,Videx EC,Delayed-release capsules - blister,"BMS Meymac, France",No,100,2386.0,,,2008,4,2,-18,0
Vietnam,PMO - US,Direct Drop,FCA,Air,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),Aluvia,Tablet,ABBVIE Ludwigshafen Germany,Yes,1480,121656.0,370.0,2652.33,2008,11,4,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,Mylan (formerly Matrix) Nashik,No,5040,51609.6,,,2008,9,3,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Stocrin/Sustiva,Capsule,"MSD Midrand, J'burg, SA",No,80,2572.0,,,2008,8,3,-104,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Truvada,Tablet - FDC,Gilead(Nycomed) Oranienburg DE,No,20,765.0,,,2008,8,3,-98,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Invirase,Capsule,Roche Basel,No,4,285.52,,,2008,8,3,-98,0
Ethiopia,PMO - US,Direct Drop,EXW,Air,ANTM,Malaria,MISSIONPHARMA A/S,Generic,Tablet,"Weifa A.S., Hausmanngt. 6, P.O. Box 9113 GrÃ_x0083_Â_x0083_Ã_x0082_Â¸nland, 0133, Oslo, Norway",Yes,32,1434.88,7.0,399.18,2008,8,3,0,0
Zimbabwe,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,Test kit - Ancillary,Inverness Japan,No,1396,13.96,,,2009,1,1,0,0
Rwanda,PMO - US,Direct Drop,CIP,Air,ARV,Adult,HETERO LABS LIMITED,Generic,Tablet,Hetero Unit III Hyderabad IN,Yes,83400,931578.0,6701.0,87692.85,2008,9,3,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,ACT,ACT,IDA FOUNDATION,Coartem,Tablet - FDC + blister,"Novartis Pharma AG, Switzerland",Yes,34,1547.68,159.0,1976.57,2008,8,3,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,ACT,ACT,IDA FOUNDATION,Coartem,Tablet - FDC + blister,"Novartis Pharma AG, Switzerland",No,34,1547.68,,,2008,8,3,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Epivir,Tablet,GSK Cape Town Factory (South Africa),No,1000,5310.0,,,2008,7,3,4,1
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,No,6502,520094.98,,,2008,10,4,0,0
Vietnam,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Chewable/dispersible tablet,"BMS Meymac, France",Yes,240,1680.0,52.0,1516.05,2008,11,4,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,ACT,ACT,IDA FOUNDATION,Coartem,Tablet - FDC + blister,"Novartis Pharma AG, Switzerland",Yes,25,875.0,86.0,1528.06,2008,10,4,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet - FDC,"Aurobindo Unit III, India",No,1800,15498.0,,,2008,9,3,0,0
Ethiopia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)",Colloidal Gold,Test kit,"KHB Test Kit Facility, Shanghai China",Yes,6998,160954.0,5056.0,44360.44,2008,10,4,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Retrovir,Tablet,GSK Aranda,No,550,6820.0,,,2008,8,3,-7,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Videx,Powder for oral solution,"BMS Meymac, France",No,10,125.4,,,2008,8,3,-11,0
Namibia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,No,2,140.0,,,2008,9,3,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,EXW,Air,ACT,ACT,IDA FOUNDATION,Generic,Tablet - FDC + co-blister,Ipca Dadra/Nagar Haveli IN,No,20000,14000.0,,,2009,1,1,0,0
Mozambique,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test - Ancillary,"Orgenics, Ltd",Generic,Test kit - Ancillary,Inverness Japan,No,1000,10.0,,,2008,10,4,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,"Aurobindo Unit III, India",No,6966,16718.4,,,2009,2,1,0,0
Zimbabwe,PMO - US,Direct Drop,CIP,Air,HRDT,HIV test,BIOLYTICAL LABORATORIES INC.,INSTi,Test kit,bioLytical Laboratories,Yes,5000,13398.72,,,2008,11,4,0,0
Ethiopia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,Chembio Diagnostics Sys. Inc.,Yes,9325,251775.0,3061.0,15288.75,2009,1,1,-10,0
Ethiopia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.",Stat-Pak,Test kit,Chembio Diagnostics Sys. Inc.,Yes,3711,100197.0,1341.0,6112.63,2009,1,1,0,0
Botswana,PMO - US,Direct Drop,DDP,Truck,HRDT,HIV test,AHN (PTY) LTD (AKA UCB (S.A.),OraQuick,Test kit,"Pacific Biotech, Thailand",Yes,5,3500.0,,,2008,11,4,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,3622,289760.0,1091.0,15045.56,2008,12,4,0,0
Tanzania,PMO - US,Direct Drop,CIP,Air,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),Atripla,Tablet - FDC,"MSD, Haarlem, NL",No,2357,118792.8,,,2009,6,2,0,0
Guyana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,2086,66752.0,707.0,5926.53,2009,1,1,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet,"Aurobindo Unit III, India",No,7800,22620.0,,,2009,4,2,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Capsule,"Aurobindo Unit III, India",No,22428,32520.6,,,2009,4,2,0,0
Zambia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,8000,256000.0,2657.0,25513.66,2009,4,2,0,0
Tanzania,PMO - US,Direct Drop,DDP,Truck,HRDT,HIV test,KAS MEDICS LIMITED,Determine,Test kit,Inverness Japan,Yes,110,12650.0,,,2009,2,1,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,Aurobindo Pharma Limited,Generic,Tablet - FDC,"Aurobindo Unit III, India",Yes,1176,10125.36,105.0,865.6,2009,3,1,0,0
Rwanda,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,963,30816.0,320.0,3100.66,2009,4,2,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,1500,105000.0,341.0,9749.73,2009,5,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Zerit,Powder for oral solution,"BMS Meymac, France",No,180,210.6,,,2009,3,1,-109,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Tablet,"Aurobindo Unit III, India",No,6000,32520.0,,,2009,3,1,-113,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Zerit,Capsule,"BMS Meymac, France",No,3600,13896.0,,,2009,3,1,-119,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Tablet,"Aurobindo Unit III, India",No,5550,68098.5,,,2009,6,2,-151,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Zerit,Powder for oral solution,"BMS Meymac, France",No,40,48.4,,,2009,5,2,-133,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Capsule,"Aurobindo Unit III, India",No,24150,59892.0,,,2009,6,2,-133,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Tablet,"Aurobindo Unit III, India",No,100,520.0,,,2009,6,2,-75,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Generic,Oral solution,"Aurobindo Unit III, India",Yes,1000,3550.0,,,2009,6,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Videx,Chewable/dispersible tablet,"BMS Meymac, France",No,10,94.9,,,2009,3,1,-130,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Epivir,Tablet,GSK Cape Town Factory (South Africa),No,2000,10460.0,,,2009,4,2,-126,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Pediatric,S. BUYS WHOLESALER,Retrovir,Oral solution,GSK Mississauga (Canada),No,150,949.5,,,2009,4,2,-126,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Truvada,Tablet - FDC,"Aspen-OSD, Port Elizabeth, SA",Yes,80,2542.4,,,2009,4,2,-49,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Zerit,Capsule,"BMS Meymac, France",No,300,1212.0,,,2009,4,2,-49,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Viread,Tablet,"Aspen-OSD, Port Elizabeth, SA",No,400,8692.0,,,2009,4,2,-49,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Tablet,"Aurobindo Unit III, India",No,1000,19760.0,,,2009,6,2,-78,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Aluvia,Tablet,ABBVIE Ludwigshafen Germany,No,1900,68362.0,,,2009,6,2,-65,0
South Africa,PMO - US,Direct Drop,DDP,Air,ARV,Adult,S. BUYS WHOLESALER,Generic,Tablet,"Aurobindo Unit III, India",No,3344,23675.52,,,2009,6,2,-65,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Epivir,Tablet,GSK Cape Town Factory (South Africa),Yes,7000,37520.0,,,2009,6,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Generic,Oral solution,"Aurobindo Unit III, India",Yes,1000,5650.0,,,2009,6,2,-8,0
Guyana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,2026,64832.0,675.0,8727.54,2009,5,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Generic,Capsule,"Aurobindo Unit III, India",No,1800,5418.0,,,2009,5,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Epivir,Oral solution,GSK Mississauga (Canada),No,650,3614.0,,,2009,5,2,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Invirase,Capsule,Roche Basel,No,30,1970.4,,,2009,5,2,-24,0
Haiti,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,Orasure Technologies Inc.,OraQuick,Test kit,"Pacific Biotech, Thailand",Yes,60,21000.0,144.0,4185.29,2009,7,3,0,0
Kenya,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,7500,600000.0,2215.0,17662.98,2009,8,3,0,0
Nigeria,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,6393,511440.0,1920.0,30697.91,2009,6,2,0,0
Rwanda,PMO - US,Direct Drop,CIP,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet - FDC,Mylan (formerly Matrix) Nashik,Yes,38736,348624.0,3080.0,33235.44,2009,9,3,0,0
Vietnam,PMO - US,Direct Drop,EXW,Air,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),Generic,Tablet,Mylan (formerly Matrix) Nashik,Yes,22512,146328.0,1775.0,5761.87,2009,8,3,0,0
Namibia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Clearview,Test kit,Chembio Diagnostics Sys. Inc.,Yes,33,2475.0,25.0,238.56,2009,9,3,0,0
Namibia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Clearview,Test kit,Chembio Diagnostics Sys. Inc.,Yes,950,71250.0,760.0,5213.02,2009,9,3,0,0
Botswana,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,138,4416.0,56.0,1060.43,2009,7,3,0,0
Vietnam,PMO - US,Direct Drop,CIP,Air,ARV,Pediatric,BRISTOL-MYERS SQUIBB,Videx,Chewable/dispersible tablet,"BMS Meymac, France",Yes,480,3360.0,,,2009,8,3,0,0
Namibia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,150,10800.0,47.0,2681.23,2009,7,3,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Retrovir,Tablet,GSK Ware (UK),No,550,8624.0,,,2009,10,4,-83,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Adult,S. BUYS WHOLESALER,Generic,Capsule,"Aurobindo Unit III, India",No,700,2457.0,,,2009,10,4,-70,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Generic,Oral solution,"Aurobindo Unit III, India",Yes,200,1410.0,,,2009,10,4,0,0
South Africa,PMO - US,Direct Drop,DDP,Truck,ARV,Pediatric,S. BUYS WHOLESALER,Generic,Capsule,"Aurobindo Unit III, India",Yes,400,1468.0,,,2009,7,3,0,0
Zambia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Orgenics, Ltd",Determine,Test kit,Inverness Japan,Yes,2500,180000.0,740.0,7513.71,2009,11,4,0,0
Namibia,PMO - US,Direct Drop,EXW,Air,HRDT,HIV test,"Trinity Biotech, Plc",Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,120,3840.0,41.0,1862.27,2009,6,2,0,0
Zambia,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Viracept,Tablet,Roche Madrid,Yes,228,17948.16,60.0,1218.91,2007,2,1,0,0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,SCMS from RDC,Viracept,Tablet,Roche Madrid,Yes,764,60814.4,1669.0,859.14,2007,1,1,0,0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,ARV,Pediatric,SCMS from RDC,Stocrin/Sustiva,Capsule,"MSD Manati, Puerto Rico, (USA)",No,341,1166.22,,,2007,1,1,0,0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,SCMS from RDC,Generic,Tablet,"Aurobindo Unit III, India",Yes,10403,174250.25,1717.0,1893.82,2007,1,1,0,0
Nigeria,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Generic,Tablet - FDC + co-blister,"Aspen-OSD, Port Elizabeth, SA",Yes,5151,105595.5,667.0,2921.0,2007,2,1,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Generic,Tablet - FDC,"Aurobindo Unit III, India",Yes,2230,22857.5,909.0,2804.0,2007,2,1,0,0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,SCMS from RDC,Viread,Tablet,Gilead(Nycomed) Oranienburg DE,Yes,747,12699.0,84.0,1338.04,2007,1,1,0,0
Zimbabwe,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Generic,Tablet,"Aurobindo Unit III, India",Yes,1050,17062.5,90.0,1428.67,2007,2,1,0,0
Nigeria,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Pediatric,SCMS from RDC,Generic,Oral solution,"Aurobindo Unit III, India",Yes,1200,2640.0,1178.0,4535.0,2007,2,1,0,0
Nigeria,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Generic,Tablet,"Aurobindo Unit III, India",No,2170,6727.0,,,2007,2,1,0,0
Nigeria,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Pediatric,SCMS from RDC,Generic,Oral suspension,"Aurobindo Unit III, India",Yes,1216,4256.0,840.0,3736.0,2007,4,2,0,0
Zambia,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Truvada,Tablet - FDC,Gilead(Nycomed) Oranienburg DE,Yes,14851,389838.75,899.0,5245.98,2007,5,2,0,0
Nigeria,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Generic,Tablet - FDC + co-blister,"Aspen-OSD, Port Elizabeth, SA",Yes,5661,116050.5,725.0,4104.5,2007,5,2,0,0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,SCMS from RDC,Invirase,Capsule,Roche Basel,Yes,470,35856.3,,7364.3,2007,4,2,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Generic,Tablet - FDC,"Aurobindo Unit III, India",Yes,1778,18224.5,716.0,2601.0,2007,5,2,0,0
CÃ_x0083_Â´te d'Ivoire,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Generic,Tablet - FDC,"Cipla, Goa, India",Yes,9000,67500.0,974.0,3166.0,2007,4,2,0,0
Zambia,PMO - US,From RDC,N/A - From RDC,Unknown,HRDT,HIV test,SCMS from RDC,Uni-Gold,Test kit,"Trinity Biotech, Plc",Yes,5212,166784.0,1780.0,13736.03,2007,5,2,0,0
Zambia,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Generic,Tablet,"Aurobindo Unit III, India",Yes,8905,318799.0,3139.0,13094.69,2007,6,2,0,0
Zambia,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Aluvia,Tablet,ABBVIE Ludwigshafen Germany,Yes,5019,206280.9,1092.0,4761.51,2007,7,3,0,0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,SCMS from RDC,Crixivan,Capsule,MSD Elkton USA,Yes,564,27816.48,3946.0,8892.48,2007,6,2,0,0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,ARV,Adult,SCMS from RDC,Invirase,Capsule,Roche Basel,No,421,32118.09,,,2007,6,2,0,0
Nigeria,PMO - US,From RDC,N/A - From RDC,Unknown,ARV,Adult,SCMS from RDC,Generic,Tablet,"Ranbaxy, Paonta Shahib, India",Yes,880,2912.8,226.0,1732.0,2007,6,2,0,0
